System,ModelType,Issues,Answers
Report/MSTR,LPM,Loss rate selection changes,Email to MQ
Report/MSTR,LPM,Loss Summary Mismatch,"Please check the analyst's comments first given on the last page of report. Loss Summary may change due to removal of Closed No Pay Claims, Roll Up of claims from same occurrence or due to removal of negative incurred claims in loss file. If still have any queries, contact the MQ."
Report/MSTR,LPM,Override Frequency Limit,Frequency limit is determined by the model based on the losses and cannot be customized.
Portal Access,All,New colleague provisioning/Need access to account,"To be provisioned to the portal, email MQ with:
1) Your employee ID number 2) Client names and client numbers (CN-numbers) you want to access 3) Your manager's approval or email address to approve the request.
Account Coordinators (Person) get access to all clients. Contact  Person 2 if brokers request all clients or Super User access."
Casualty Portal,Collateral,Cannot find CN Number,"User not provisioned to CN. Try advance search by CN with name blank. Ensure CN does not have dash or space. Log out and in to refresh list. MQ can try search to see if client is available.
(OR)
Check BCAM to confirm user is provisioned to CN. Remove and add CN again.
(OR)
Some CNs become inactive and must be removed from provisioning. Models can also be moved to new CNs.
"
Casualty Portal,Collateral,Cannot find Request,Be in correct CN#. Uncheck My Reqeusts Only in the portal. Verify CN# is still valid. Check if model was created from Model portal (by super user).
Casualty Portal,Collateral,Multiple data files,"if more than 3 data files need to be submitted, they can be zipped together."
Casualty Portal,Collateral,Unable to retrieve PDF report,"Common solutions:
Try again. 
Disable popup blocker in the browser
Use Chrome browser
Let us know if it still fails"
Casualty Portal,LPM,Accept/Finalize Model,"If everything seems good then you can accept the model, but after accepting it, no changes can be done later."
Casualty Portal,LPM,Casualty landing page will not load,Authsoftware might need to be authenticated.
Casualty Portal,LPM,Cannot find CN Number,"User not provisioned to CN. Try advance search by CN with name blank. Ensure CN does not have dash or space. Log out and in to refresh list. MQ can try search to see if client is available.
(OR)
Check BCAM to confirm user is provisioned to CN. Remove and add CN again.
(OR)
Some CNs become inactive and must be removed from provisioning. Models can also be moved to new CNs.
"
Casualty Portal,LPM,Cannot find Request,Be in correct CN#. Uncheck My Reqeusts Only in the portal. Verify CN# is still valid. Check if model was created from Model portal (by super user).
Casualty Portal,LPM,"Company search returned error: ""No results found""","User not provisioned to CN. Try advance search by CN with name blank. Ensure CN does not have dash or space. Log out and in to refresh list. MQ can try search to see if client is available.
(OR)
Check BCAM to confirm user is provisioned to CN. Remove and add CN again.
(OR)
Adminstrator checks if search works for each client user is provisioned. Some CNs become inactive and must be removed from provisioning. Models can also be moved to new CNs.
"
Casualty Portal,LPM,"Error: ""Something went wrong. Please try again"" after completing request form","Use a different model name. Model names must be unique within a CN-Number
Answer all the questions in the request form. Do not leave any blank input items.
Layers of interest cannot have duplicate values (except 0)
Upload files <40MB in total
Look at request form for any red error text"
Casualty Portal,LPM,Login Issue - Casualty,Get provisioned. Use Chrome.  Open new browser sessions. Contact help desk.
Casualty Portal,LPM,Multiple data files,"if more than 3 data files need to be submitted, they can be zipped together."
Casualty Portal,LPM,Request Creation Issue - File Upload Error may have occurred,If you do not see a request in the Requests portal then the request was not created. Submit a new request. Verify the new request in Requests portal.
Casualty Portal,LPM,Unable to retrieve PDF report,"Common solutions:
Try again. 
Disable popup blocker in the browser
Use Chrome browser
Email to Model Quest."
Any Other,Exposure Based Model,High Loss Projections,"Please verify if Class code, CGL class code and Expsoure value is correct."
Any Other,Exposure Based Model,Unable to retrieve PDF report,"Currently, portal is not able to generate PDF report of EBM. If you want, you can request the same from  MQ, Analyst will generate a report of requested EBM."
Any Other,LPM,Output report training,Draft training available. Portal Collateral Training (draft 3).pptx
Any Other,LPM,Raise Rush Request,"Colleague can communicate ""rush"" through reqeust form Comments or email to MQ. MQ forward to contractor. Contractor normally clears all requests by 10-11AM next day. MQ can facilitate by reviewing request, ask contractor to send rejection issues to MQ early. Same day rush then refer requester to Power User in zone."
Any Other,LPM,Where do we find Sample Reports?,Sample reports are available to colleagues in the blog
